schedule_id,doctor_id,practice_date,start_time,end_time,location,note
SCH001,DOC001,2025-03-10,08:00,12:00,"RS Umum Bandung","Praktik ANC"
SCH002,DOC001,2025-05-15,08:00,12:00,"RS Umum Bandung","Praktik ANC"
SCH003,DOC001,2025-07-20,08:00,12:00,"RS Umum Bandung","Praktik ANC"
SCH101,DOC101,2025-08-10,09:00,12:00,"Klinik Sehat Bandung","Pemeriksaan rutin pasien umum"
SCH102,DOC102,2025-08-15,13:00,16:00,"RS Jantung Bandung","Kontrol pasien hipertensi"
SCH004,DOC003,2025-06-10,09:00,12:00,"RS Cipto","Kontrol rutin hipertensi"
SCH005,DOC004,2025-07-05,08:00,11:00,"Klinik Sehat","Pemeriksaan awal kolesterol"
SCH006,DOC003,2025-08-20,09:00,12:00,"RS Cipto","Follow-up hasil lab"
SCH007,DOC005,2025-05-15,08:00,12:00,"RS Mitra Sehat","Kontrol gula darah rutin"
SCH008,DOC006,2025-06-01,09:00,11:00,"Klinik Harapan","Pemeriksaan awal"
SCH009,DOC007,2025-07-10,13:00,16:00,"RS Jantung Nasional","Evaluasi hipertensi + EKG"
SCH020,DOC010,2025-06-10,08:00,12:00,"RS Medika Sehat","Kontrol kolesterol"
SCH021,DOC011,2025-07-05,09:00,11:30,"Klinik Utama Harmoni","Pemeriksaan awal"
SCH022,DOC012,2025-07-20,13:00,16:00,"RS Pusat Jakarta","Evaluasi gastritis"
SCH100,DOC100,2025-07-01,08:00,12:00,"RS Jakarta Medika","Pemeriksaan hipertensi"
SCH101,DOC101,2025-07-15,09:00,11:00,"Klinik Sehat Selalu","Kontrol rutin"
SCH102,DOC102,2025-07-20,13:00,16:00,"RS Pusat Jantung","Evaluasi jantung pasien hipertensi"
SCH200,DOC200,2025-06-10,08:00,12:00,"RS Sehat Sentosa","Kontrol hipertensi"
SCH201,DOC201,2025-06-15,13:00,16:00,"RS Endokrin Jakarta","Kontrol diabetes"
SCH202,DOC202,2025-06-20,09:00,11:00,"Klinik Harapan","Pemeriksaan umum"
SCH300,DOC300,2025-07-05,08:00,11:00,"RS Paru Sehat","Kontrol rutin asma"
SCH301,DOC301,2025-07-10,13:00,16:00,"RS Sehat Sentosa","Cek kolesterol"
SCH302,DOC302,2025-07-15,09:00,12:00,"Klinik Mitra Keluarga","Pemeriksaan umum"
SCH500,DOC500,2025-07-02,08:00,12:00,"RS Harapan Sehat","Klinik Hipertensi"
SCH501,DOC501,2025-07-12,13:00,16:00,"RS Sehat Sentosa","Kontrol rutin metabolik"
SCH502,DOC502,2025-07-20,09:00,12:00,"Klinik Mitra Medika","Pemeriksaan umum"
