text,intent
Kapan jadwal kontrol hamil saya berikutnya?,reminder_kontrol_kehamilan
Tolong ingatkan saya ANC selanjutnya kapan.,reminder_kontrol_kehamilan
Saya mau tahu kontrol kehamilan berikutnya kapan.,reminder_kontrol_kehamilan
Kapan saya harus datang lagi untuk pemeriksaan hamil?,reminder_kontrol_kehamilan
Ada jadwal kunjungan ANC saya selanjutnya?,reminder_kontrol_kehamilan
Ingatkan jadwal kontrol kehamilan saya dong.,reminder_kontrol_kehamilan
Kapan saya perlu kontrol lagi ke bidan?,reminder_kontrol_kehamilan
Tolong kasih tahu jadwal ANC selanjutnya.,reminder_kontrol_kehamilan
Kapan saya harus cek kandungan lagi?,reminder_kontrol_kehamilan
Saya ingin diingatkan kontrol berikutnya.,reminder_kontrol_kehamilan
Tolong cek jadwal ANC saya yang akan datang.,reminder_kontrol_kehamilan
Kontrol hamil saya berikutnya jatuh tanggal berapa?,reminder_kontrol_kehamilan
Saya mau tahu kapan pemeriksaan hamil selanjutnya.,reminder_kontrol_kehamilan
Kapan kontrol kandungan saya berikutnya?,reminder_kontrol_kehamilan
Ada jadwal kunjungan hamil saya minggu depan?,reminder_kontrol_kehamilan
Tolong ingatkan jadwal pemeriksaan ANC saya.,reminder_kontrol_kehamilan
Kapan jadwal kontrol kandungan saya lagi?,reminder_kontrol_kehamilan
Saya mau diingatkan jadwal ANC berikutnya.,reminder_kontrol_kehamilan
Kapan saya harus kembali kontrol kehamilan?,reminder_kontrol_kehamilan
Tolong kasih reminder kontrol kehamilan saya.,reminder_kontrol_kehamilan
Kapan jadwal saya ke bidan lagi untuk kontrol?,reminder_kontrol_kehamilan
Ingatkan saya kapan ANC selanjutnya.,reminder_kontrol_kehamilan
Saya mau tahu kontrol berikutnya kapan jadwalnya.,reminder_kontrol_kehamilan
Berapa lama lagi saya harus periksa kehamilan?,reminder_kontrol_kehamilan
Kapan jadwal kunjungan hamil saya berikutnya?,reminder_kontrol_kehamilan
Tolong cek kapan ANC saya dijadwalkan lagi.,reminder_kontrol_kehamilan
Ada pengingat jadwal kontrol hamil saya?,reminder_kontrol_kehamilan
Kapan saya perlu datang lagi untuk ANC?,reminder_kontrol_kehamilan
Saya mau tahu jadwal kontrol selanjutnya di buku KIA.,reminder_kontrol_kehamilan
Tolong kirim reminder jadwal ANC saya.,reminder_kontrol_kehamilan
Kapan jadwal pemeriksaan kandungan saya lagi?,reminder_kontrol_kehamilan
Saya mau ingat jadwal kontrol kehamilan.,reminder_kontrol_kehamilan
Kapan kontrol selanjutnya untuk kehamilan ini?,reminder_kontrol_kehamilan
Tolong beri tahu jadwal ANC saya selanjutnya.,reminder_kontrol_kehamilan
Saya perlu tahu kapan harus kontrol hamil lagi.,reminder_kontrol_kehamilan
Besok ada jadwal ANC saya tidak?,reminder_kontrol_kehamilan
Tolong cek kapan jadwal ANC terakhir dan berikutnya.,reminder_kontrol_kehamilan
Kapan kontrol kehamilan berikutnya sesuai jadwal?,reminder_kontrol_kehamilan
Ingatkan saya kapan harus kontrol kandungan lagi.,reminder_kontrol_kehamilan
Saya mau tahu kapan jadwal ANC di trimester ini.,reminder_kontrol_kehamilan
Kapan saya jadwalnya ke bidan untuk ANC lagi?,reminder_kontrol_kehamilan
Tolong kasih tahu jadwal kunjungan hamil berikutnya.,reminder_kontrol_kehamilan
Saya ingin tahu kontrol kehamilan berikutnya kapan.,reminder_kontrol_kehamilan
Kapan saya harus balik lagi untuk ANC?,reminder_kontrol_kehamilan
Jadwal kontrol ANC saya berikutnya kapan ya?,reminder_kontrol_kehamilan
Saya butuh reminder jadwal kontrol kehamilan.,reminder_kontrol_kehamilan
Kapan waktu kontrol kandungan berikutnya?,reminder_kontrol_kehamilan
Saya mau tahu kapan harus cek kandungan lagi.,reminder_kontrol_kehamilan
Tolong informasikan jadwal ANC selanjutnya.,reminder_kontrol_kehamilan
Kapan saya dijadwalkan ANC lagi?,reminder_kontrol_kehamilan
Jadwal kontrol kehamilan saya yang akan datang kapan?,reminder_kontrol_kehamilan
Besok aku ada jadwal kontrol hamil nggak?,reminder_kontrol_kehamilan
ANC-ku selanjutnya kapan ya?,reminder_kontrol_kehamilan
Tolong ingetin aku kapan harus kontrol lagi.,reminder_kontrol_kehamilan
Aku harus balik periksa kandungan kapan lagi?,reminder_kontrol_kehamilan
Jadwal ANC berikutnya kapan jatuhnya?,reminder_kontrol_kehamilan
Kontrol hamil minggu depan ada nggak?,reminder_kontrol_kehamilan
"Saya lupa jadwal ANC selanjutnya, bisa dicek?",reminder_kontrol_kehamilan
Ingatkan saya kapan pemeriksaan hamil lagi.,reminder_kontrol_kehamilan
Kapan saya ke bidan lagi untuk periksa kandungan?,reminder_kontrol_kehamilan
ANC trimester dua saya berikutnya kapan?,reminder_kontrol_kehamilan
Tolong kasih tahu jadwal kontrol hamil yang akan datang.,reminder_kontrol_kehamilan
Jadwal kunjungan ANC saya selanjutnya tanggal berapa?,reminder_kontrol_kehamilan
Ada jadwal periksa hamil minggu ini nggak?,reminder_kontrol_kehamilan
Reminder kontrol kehamilan saya kapan ya?,reminder_kontrol_kehamilan
Saya mau tahu kapan waktunya kontrol lagi.,reminder_kontrol_kehamilan
Kapan saya harus cek hamil lagi?,reminder_kontrol_kehamilan
Jadwal ANC ke depan kapan ya?,reminder_kontrol_kehamilan
Tolong cek kapan kunjungan kehamilan saya berikutnya.,reminder_kontrol_kehamilan
Saya perlu diingatkan jadwal kontrol hamil saya.,reminder_kontrol_kehamilan
Kapan jadwal kontrol kehamilan bulan ini?,reminder_kontrol_kehamilan
ANC-ku minggu depan jadi kapan?,reminder_kontrol_kehamilan
Tolong kasih reminder jadwal ANC saya berikutnya.,reminder_kontrol_kehamilan
"Saya lupa kapan kontrol terakhir, jadwal berikutnya kapan?",reminder_kontrol_kehamilan
Ada notifikasi jadwal ANC saya nggak?,reminder_kontrol_kehamilan
Jadwal kunjungan kandungan saya selanjutnya kapan ya?,reminder_kontrol_kehamilan
Kontrol berikutnya sesuai jadwal kapan?,reminder_kontrol_kehamilan
Tolong kasih tahu kapan saya harus periksa hamil lagi.,reminder_kontrol_kehamilan
Reminder jadwal ANC trimester tiga saya kapan?,reminder_kontrol_kehamilan
Kapan saya dijadwalkan untuk ANC lagi?,reminder_kontrol_kehamilan
Besok saya harus datang ANC nggak?,reminder_kontrol_kehamilan
Saya ingin tahu kapan pemeriksaan ANC saya selanjutnya.,reminder_kontrol_kehamilan
Ada jadwal kontrol kandungan minggu depan?,reminder_kontrol_kehamilan
Kapan kontrol kehamilan berikutnya sesuai buku KIA?,reminder_kontrol_kehamilan
Tolong info jadwal ANC saya selanjutnya.,reminder_kontrol_kehamilan
ANC saya bulan depan jatuh tanggal berapa?,reminder_kontrol_kehamilan
Saya mau tahu kontrol kandungan kapan lagi.,reminder_kontrol_kehamilan
Ingatkan saya jadwal ANC berikutnya dong.,reminder_kontrol_kehamilan
Jadwal pemeriksaan kandungan selanjutnya kapan ya?,reminder_kontrol_kehamilan
Saya harus kontrol hamil lagi kapan?,reminder_kontrol_kehamilan
Besok saya ada jadwal kontrol kehamilan?,reminder_kontrol_kehamilan
Kapan ANC saya yang berikutnya?,reminder_kontrol_kehamilan
Tolong informasikan jadwal kontrol hamil saya berikutnya.,reminder_kontrol_kehamilan
"Aku lupa, kapan jadwal ANC terakhir dan berikutnya?",reminder_kontrol_kehamilan
Saya perlu tahu kapan jadwal periksa hamil selanjutnya.,reminder_kontrol_kehamilan
Kapan saya balik lagi untuk pemeriksaan ANC?,reminder_kontrol_kehamilan
Tolong kasih tahu jadwal ANC di usia kehamilan sekarang.,reminder_kontrol_kehamilan
Saya mau diingatkan kontrol kehamilan berikutnya.,reminder_kontrol_kehamilan
Kapan kontrol hamil saya jatuh lagi?,reminder_kontrol_kehamilan
Apakah minggu ini saya ada jadwal ANC?,reminder_kontrol_kehamilan
Saya butuh notifikasi jadwal ANC saya.,reminder_kontrol_kehamilan
Kapan kontrol kandungan selanjutnya sesuai jadwal?,reminder_kontrol_kehamilan
Jadwal ANC saya berikutnya ada di tanggal berapa?,reminder_kontrol_kehamilan
"Jangan lupa kontrol kehamilan minggu depan ya, sesuai jadwal ANC.",reminder_kontrol_kehamilan
Pengingat: Ibu ada jadwal kunjungan ANC tanggal 12 September.,reminder_kontrol_kehamilan
"Kontrol kehamilan berikutnya sudah dijadwalkan, mohon hadir tepat waktu.",reminder_kontrol_kehamilan
Ingat untuk periksa kehamilan sesuai jadwal yang telah ditentukan.,reminder_kontrol_kehamilan
Notifikasi: Kunjungan ANC selanjutnya tanggal 20 September.,reminder_kontrol_kehamilan
Sudah waktunya cek tekanan darah dan kondisi janin di kunjungan ANC berikutnya.,reminder_kontrol_kehamilan
Reminder: jangan lewatkan kontrol kehamilan minggu depan.,reminder_kontrol_kehamilan
"Pengingat jadwal ANC: Senin, 25 September.",reminder_kontrol_kehamilan
Tolong hadir sesuai jadwal untuk kontrol kehamilan selanjutnya.,reminder_kontrol_kehamilan
Periksa rutin kehamilan dijadwalkan tanggal 30 September.,reminder_kontrol_kehamilan
Jangan lupa datang untuk pemeriksaan ANC selanjutnya.,reminder_kontrol_kehamilan
Kontrol kehamilan penting untuk memantau kesehatan ibu dan janin. Jadwal berikutnya: 5 Oktober.,reminder_kontrol_kehamilan
Notifikasi: Pemeriksaan ANC berikutnya sudah dijadwalkan.,reminder_kontrol_kehamilan
"Ingat ya bu, jadwal ANC selanjutnya ada minggu depan.",reminder_kontrol_kehamilan
Harap hadir untuk kontrol ANC sesuai jadwal yang sudah diberikan.,reminder_kontrol_kehamilan
Reminder: Pemeriksaan kehamilan rutin pada tanggal 10 Oktober.,reminder_kontrol_kehamilan
"Pengingat kunjungan ANC selanjutnya: Rabu, 12 Oktober.",reminder_kontrol_kehamilan
"Kontrol kehamilan berikutnya sudah dekat, jangan sampai terlewat.",reminder_kontrol_kehamilan
Tanggal 15 Oktober jadwal ANC ibu berikutnya. Mohon hadir.,reminder_kontrol_kehamilan
Sudah saatnya kontrol ANC sesuai jadwal yang ditentukan.,reminder_kontrol_kehamilan
Pengingat: Jangan lupa cek ANC minggu depan.,reminder_kontrol_kehamilan
Jangan lewatkan jadwal kontrol kehamilan berikutnya.,reminder_kontrol_kehamilan
Notifikasi: ANC rutin akan dilakukan tanggal 18 Oktober.,reminder_kontrol_kehamilan
Harap hadir untuk kunjungan kehamilan rutin pada jadwal yang sudah ditentukan.,reminder_kontrol_kehamilan
Reminder: Pemeriksaan ANC ibu berikutnya dijadwalkan minggu depan.,reminder_kontrol_kehamilan
"Pengingat jadwal kontrol ANC berikutnya: Jumat, 20 Oktober.",reminder_kontrol_kehamilan
Jangan lupa untuk kontrol kehamilan sesuai jadwal ANC.,reminder_kontrol_kehamilan
Sudah waktunya jadwal kunjungan ANC berikutnya.,reminder_kontrol_kehamilan
"Kontrol ANC penting, jadwal ibu selanjutnya: 22 Oktober.",reminder_kontrol_kehamilan
Reminder: Jangan sampai terlewat kontrol kehamilan minggu depan.,reminder_kontrol_kehamilan
"Pengingat kunjungan ANC: Senin, 23 Oktober.",reminder_kontrol_kehamilan
Jangan lupa periksa kehamilan sesuai jadwal ANC berikutnya.,reminder_kontrol_kehamilan
Notifikasi: Pemeriksaan kehamilan rutin tanggal 25 Oktober.,reminder_kontrol_kehamilan
Reminder: Sudah waktunya kontrol ANC.,reminder_kontrol_kehamilan
Harap hadir sesuai jadwal untuk kunjungan ANC berikutnya.,reminder_kontrol_kehamilan
Pengingat: Kontrol ANC ibu dijadwalkan tanggal 28 Oktober.,reminder_kontrol_kehamilan
Jangan sampai lupa jadwal kontrol kehamilan selanjutnya.,reminder_kontrol_kehamilan
Kontrol kehamilan ibu selanjutnya tanggal 30 Oktober.,reminder_kontrol_kehamilan
Reminder: Pemeriksaan ANC minggu depan jangan terlewat.,reminder_kontrol_kehamilan
Pengingat kunjungan ANC berikutnya sudah dekat.,reminder_kontrol_kehamilan
Notifikasi: Jadwal ANC ibu berikutnya adalah 2 November.,reminder_kontrol_kehamilan
Ingat untuk hadir pada pemeriksaan ANC selanjutnya.,reminder_kontrol_kehamilan
Jangan lupa kontrol ANC tanggal 4 November.,reminder_kontrol_kehamilan
Reminder: Pemeriksaan rutin kehamilan tanggal 5 November.,reminder_kontrol_kehamilan
Pengingat jadwal kontrol ANC: 7 November.,reminder_kontrol_kehamilan
"Kontrol kehamilan berikutnya sudah masuk jadwal, mohon hadir.",reminder_kontrol_kehamilan
Notifikasi: Jangan lewatkan jadwal ANC ibu berikutnya.,reminder_kontrol_kehamilan
"Sudah waktunya kontrol kehamilan lagi, jadwal ibu: 9 November.",reminder_kontrol_kehamilan
Reminder: Kunjungan ANC selanjutnya sudah dijadwalkan.,reminder_kontrol_kehamilan
Harap hadir untuk kontrol ANC sesuai jadwal.,reminder_kontrol_kehamilan
Pengingat: Pemeriksaan kehamilan ibu berikutnya tanggal 12 November.,reminder_kontrol_kehamilan
Pengingat: Ibu ada jadwal kontrol ANC pada tanggal 5 September.,reminder_kontrol_kehamilan
Jangan lupa datang untuk pemeriksaan kehamilan rutin minggu depan.,reminder_kontrol_kehamilan
Notifikasi: Kunjungan ANC berikutnya dijadwalkan tanggal 12 September.,reminder_kontrol_kehamilan
Reminder: Sudah waktunya kontrol kehamilan sesuai jadwal ANC.,reminder_kontrol_kehamilan
Harap hadir untuk pemeriksaan ANC sesuai jadwal berikutnya.,reminder_kontrol_kehamilan
"Pengingat jadwal ANC: Senin, 18 September 2025.",reminder_kontrol_kehamilan
"Kontrol kehamilan penting untuk memantau janin, jadwal selanjutnya tanggal 20 September.",reminder_kontrol_kehamilan
Jangan lewatkan pemeriksaan ANC rutin ibu minggu depan.,reminder_kontrol_kehamilan
